"Wasserwerk";"Natrium";"Kalium";"Calcium";"Magnesium";"Chlorit";"Nitrat";"Sulfat";"Härte";"Karbonathärte (Restkalkität?)"
"Grundwasserwerk Baursberg";59;2.3;91;7;89;3.4;112;14.5;8.1
"Grundwasserwerk Bergedorf";44;2;56;6;55;1.7;13;9.2;9.1
"Grundwasserwerk Bostelbek";10;1;54;3;19;"n.n";35;8.2;5.9
"Grundwasserwerk Glinde";11;1.8;60;6;20;0.6;46;9.6;6.9
"Grundwasserwerk Großensee";9;1.4;56;4;11;0.8;7;7.2;7.1
"Grundwasserwerk Großhansdorf";11;1.6;80;6;19;1.9;29;12.5;10.8
"Grundwasserwerk Haseldorfer Marsch";33;3.4;59;9;55;10.5;59;10.4;6.6
"Grundwasserwerk Langenhorn";90;4.8;56;11;88;1.4;28;10.4;10.4
"Grundwasserwerk Lohbrügge";28;3.1;58;9;29;2.2;12;10.2;10.1
"Grundwasserwerk Neugraben";9;1.6;33;3;10;0.4;12;5.3;5.1
"Grundwasserwerk Nordheide";9;1;38;2;10;"n.n";11;5.9;5.5
"Grundwasserwerk Schnelsen";46;3;88;8;82;1.3;60;14.2;10.2
"Grundwasserwerk Stellingen";36;2.9;108;8;50;1;145;17.1;9.4
"Grundwasserwerk Süderelbmarsch";14;2.3;43;4;20;0.7;25;6.9;5.9
"Grundwasserwerk Walddörfer";16;2.4;54;6;14;1.4;8;8.9;8.9
"Hauptpumpwerk Rothenburgsort";20;2.6;72;7;32;1.5;36;11.5;9.4
